,produto,precos,agrup1
0,Açucar Native Orgânico Dourado 1kg,6.25,0
1,Açucar Itaja 1KG Organico Demerara,6.48,0
2,Açúcar Native Orgânico Claro 1kg,8.29,0
3,Açucar Cristal Itaja 1kg Organico,5.99,0
4,Bebida De Aveia Nude Organico S/ Gluten 1L,19.9,1
5,Bebida De Aveia Nude Organico Baunilha 1L,19.9,1
6,Bebida De Aveia Nude Organico Integral 1L,19.9,1
7,Bebida De Aveia Nude Organico Cacau 1L,19.9,1
8,Chá Mate Poder da Terra Organico Pessego 1L,9.9,0
9,Chá Mate Poder da Terra Organico Limão 1L,9.9,0
10,Achocolatado Orgânico Em Pó Instantâneo Native 400G,19.8,1
11,Cereal Corn Flakes Native Organico 300g,16.98,1
12,Açucar Tia Sonia 400g Organico Demerara,11.98,1
13,Açucar Native 250g Organico Sache,9.99,0
14,"Sorbet Orgânico Açaí Eco Fresh Pote 1,02kg",42.98,0
15,Chá Mate Poder Da Terra Organico Tradicional 1L,9.9,0
16,Vinho Chileno Rosé Meio Seco Orgânico Reserva Adobe Valle del Rapel Garrafa 750ml,76.8,0
17,Hortelã Orgânico Caisp,0.0,0
18,Espinafre Orgânico Caisp 180g,0.0,0
